ID,Date_start_contract,Date_last_renewal,Date_next_renewal,Date_birth,Date_driving_licence,Distribution_channel,Seniority,Policies_in_force,Max_policies,Max_products,Lapse,Date_lapse,Payment,Premium,Cost_claims_year,N_claims_year,N_claims_history,R_Claims_history,Type_risk,Area,Second_driver,Year_matriculation,Power,Cylinder_capacity,Value_vehicle,N_doors,Type_fuel,Length,Weight,repeat_count
144,21/04/2016,21/04/2017,21/04/2018,19/03/1955,16/04/1991,1,5,2,3,1,2,21/04/2017,0,541.69,0.0,0,8,1.0,3,1,0,2006,65,1390,18325.0,5,D,4.28,1439,2
144,21/04/2016,21/04/2017,21/04/2018,19/03/1955,16/04/1991,1,5,2,3,1,2,21/04/2017,0,541.69,0.0,0,8,1.0,3,1,0,2006,65,1390,18325.0,5,D,4.28,1439,2
3375,10/07/2016,10/07/2016,10/07/2017,15/01/1955,01/05/1975,0,2,1,1,1,0,10/07/2017,1,361.8,104.12,1,1,1.0,3,0,0,2006,112,1991,25610.0,5,D,4.7,1835,2
3375,10/07/2016,10/07/2016,10/07/2017,15/01/1955,01/05/1975,0,2,1,1,1,0,10/07/2017,1,361.8,104.12,1,1,1.0,3,0,0,2006,112,1991,25610.0,5,D,4.7,1835,2
10764,04/02/2017,04/02/2017,04/02/2018,14/07/1961,18/09/1981,1,2,1,1,1,0,04/02/2018,1,541.69,3365.18,3,3,1.48,3,0,1,2016,90,1422,18229.68,3,D,3.97,1151,2
10764,04/02/2017,04/02/2017,04/02/2018,14/07/1961,18/09/1981,1,2,1,1,1,0,04/02/2018,1,541.69,3365.18,3,3,1.48,3,0,1,2016,90,1422,18229.68,3,D,3.97,1151,2
15389,27/06/2016,27/06/2016,27/06/2017,11/07/1992,28/11/2010,1,3,1,1,1,0,27/06/2018,0,358.95,310.01,2,2,1.0,3,1,0,2014,100,999,15675.0,3,P,3.97,1026,2
15389,27/06/2016,27/06/2016,27/06/2017,11/07/1992,28/11/2010,1,3,1,1,1,0,27/06/2018,0,358.95,310.01,2,2,1.0,3,1,0,2014,100,999,15675.0,3,P,3.97,1026,2
22305,15/07/2015,15/07/2016,15/07/2017,29/09/1959,19/01/1979,1,4,2,2,1,1,09/11/2016,1,400.68,0.0,0,0,0.0,3,0,0,2004,85,1461,19520.0,5,D,4.34,1410,2
22305,15/07/2015,15/07/2016,15/07/2017,29/09/1959,19/01/1979,1,4,2,2,1,1,09/11/2016,1,400.68,0.0,0,0,0.0,3,0,0,2004,85,1461,19520.0,5,D,4.34,1410,2
23727,16/05/2016,16/05/2016,16/05/2017,09/12/1963,24/09/1986,1,2,1,1,1,0,16/05/2017,0,107.36,0.0,0,0,0.0,1,1,0,2012,22,610,4299.0,0,P,3.21,526,2
23727,16/05/2016,16/05/2016,16/05/2017,09/12/1963,24/09/1986,1,2,1,1,1,0,16/05/2017,0,107.36,0.0,0,0,0.0,1,1,0,2012,22,610,4299.0,0,P,3.21,526,2
44819,20/04/2012,20/04/2016,20/04/2017,30/10/1956,01/01/2005,1,6,1,1,1,0,20/04/2017,0,288.4,108.67,1,3,0.6,3,1,0,2008,110,1686,21290.0,5,D,4.25,1325,2
44819,20/04/2012,20/04/2016,20/04/2017,30/10/1956,01/01/2005,1,6,1,1,1,0,20/04/2017,0,288.4,108.67,1,3,0.6,3,1,0,2008,110,1686,21290.0,5,D,4.25,1325,2
52857,10/10/2017,10/10/2017,10/10/2018,04/04/1983,15/02/2006,0,2,1,1,1,0,10/10/2018,1,295.84,0.0,0,0,0.0,3,0,0,2008,109,1560,20100.0,4,D,4.48,1282,2
52857,10/10/2017,10/10/2017,10/10/2018,04/04/1983,15/02/2006,0,2,1,1,1,0,10/10/2018,1,295.84,0.0,0,0,0.0,3,0,0,2008,109,1560,20100.0,4,D,4.48,1282,2
