experimentIndex,experimentName,experimentKey,experimentGroup,description,seed,useResidual,normType,activation,headType,usePosWeight,posWeightStrategy,balancedSampling,autoThreshold,clfThreshold,auc,f1,recall,precision,prAuc,accuracy,balancedAccuracy,loss,finalThreshold,epochsCompleted,stoppedEarly,status,runDir,startedAt,finishedAt,durationSeconds,error
1,01_shared_baseline_baseline_original,baseline_original,shared_baseline,"Original residual MLP with LayerNorm, GELU, MLP head, weighted BCE, and automatic threshold search.",42,True,layernorm,gelu,mlp,True,fixed,False,True,0.5,0.969203,0.80019,0.856415,0.750893,0.88777,0.920402,0.895724,0.356048,0.674121,73,True,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260413_134429\01_shared_baseline_baseline_original\seed_42,2026-04-13 13:44:29,2026-04-13 13:58:16,827.39,
1,01_shared_baseline_baseline_original,baseline_original,shared_baseline,"Original residual MLP with LayerNorm, GELU, MLP head, weighted BCE, and automatic threshold search.",52,True,layernorm,gelu,mlp,True,fixed,False,True,0.5,0.971543,0.803263,0.852342,0.759528,0.898345,0.922297,0.895318,0.342559,0.701256,80,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260413_134429\01_shared_baseline_baseline_original\seed_52,2026-04-13 13:58:16,2026-04-13 14:14:34,978.1,
1,01_shared_baseline_baseline_original,baseline_original,shared_baseline,"Original residual MLP with LayerNorm, GELU, MLP head, weighted BCE, and automatic threshold search.",62,True,layernorm,gelu,mlp,True,fixed,False,True,0.5,0.972184,0.80795,0.858961,0.762658,0.892557,0.924003,0.898918,0.33493,0.719347,78,True,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260413_134429\01_shared_baseline_baseline_original\seed_62,2026-04-13 14:14:34,2026-04-13 14:30:17,942.95,
2,02_components_no_residual,component_no_residual,components,Replace residual blocks with plain feed-forward blocks while keeping the same hidden dimensions.,42,False,layernorm,gelu,mlp,True,fixed,False,True,0.5,0.968768,0.797729,0.858452,0.745029,0.887294,0.91898,0.895637,0.361169,0.701256,80,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260413_134429\02_components_no_residual\seed_42,2026-04-13 14:30:17,2026-04-13 14:42:59,761.89,
2,02_components_no_residual,component_no_residual,components,Replace residual blocks with plain feed-forward blocks while keeping the same hidden dimensions.,52,False,layernorm,gelu,mlp,True,fixed,False,True,0.5,0.970691,0.803977,0.864562,0.751327,0.893624,0.921539,0.899565,0.352285,0.710302,80,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260413_134429\02_components_no_residual\seed_52,2026-04-13 14:42:59,2026-04-13 14:58:20,921.02,
2,02_components_no_residual,component_no_residual,components,Replace residual blocks with plain feed-forward blocks while keeping the same hidden dimensions.,62,False,layernorm,gelu,mlp,True,fixed,False,True,0.5,0.972308,0.80949,0.877291,0.751417,0.888042,0.92315,0.905464,0.33588,0.687688,80,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260413_134429\02_components_no_residual\seed_62,2026-04-13 14:58:20,2026-04-13 15:12:51,870.71,
3,03_components_no_norm,component_no_norm,components,"Remove LayerNorm from the input projection, backbone blocks, and classification head.",42,True,none,gelu,mlp,True,fixed,False,True,0.5,0.969744,0.799713,0.850815,0.754402,0.8896,0.920686,0.893739,0.352323,0.65603,64,True,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260413_134429\03_components_no_norm\seed_42,2026-04-13 15:12:51,2026-04-13 15:24:48,716.84,
3,03_components_no_norm,component_no_norm,components,"Remove LayerNorm from the input projection, backbone blocks, and classification head.",52,True,none,gelu,mlp,True,fixed,False,True,0.5,0.972026,0.807542,0.839613,0.77783,0.900268,0.925519,0.892388,0.334906,0.687688,80,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260413_134429\03_components_no_norm\seed_52,2026-04-13 15:24:48,2026-04-13 15:39:01,853.78,
3,03_components_no_norm,component_no_norm,components,"Remove LayerNorm from the input projection, backbone blocks, and classification head.",62,True,none,gelu,mlp,True,fixed,False,True,0.5,0.971738,0.807318,0.865071,0.756793,0.892427,0.92315,0.900751,0.337624,0.646985,78,True,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260413_134429\03_components_no_norm\seed_62,2026-04-13 15:39:01,2026-04-13 15:53:46,884.12,
4,04_components_relu_activation,component_relu_activation,components,Keep the architecture unchanged but replace GELU with ReLU.,42,True,layernorm,relu,mlp,True,fixed,False,True,0.5,0.969009,0.797354,0.828411,0.76854,0.886316,0.921634,0.885681,0.35408,0.74196,80,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260413_134429\04_components_relu_activation\seed_42,2026-04-13 15:53:46,2026-04-13 16:09:03,917.66,
4,04_components_relu_activation,component_relu_activation,components,Keep the architecture unchanged but replace GELU with ReLU.,52,True,layernorm,relu,mlp,True,fixed,False,True,0.5,0.971174,0.802962,0.855906,0.756185,0.896609,0.921823,0.896401,0.342407,0.678643,80,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260413_134429\04_components_relu_activation\seed_52,2026-04-13 16:09:03,2026-04-13 16:24:27,923.41,
4,04_components_relu_activation,component_relu_activation,components,Keep the architecture unchanged but replace GELU with ReLU.,62,True,layernorm,relu,mlp,True,fixed,False,True,0.5,0.97182,0.806068,0.879328,0.744076,0.889135,0.921255,0.905085,0.335647,0.669598,80,True,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260413_134429\04_components_relu_activation\seed_62,2026-04-13 16:24:27,2026-04-13 16:39:43,916.35,
5,05_components_linear_head,component_linear_head,components,Replace the two-layer MLP classification head with a single linear layer.,42,True,layernorm,gelu,linear,True,fixed,False,True,0.5,0.968805,0.800292,0.837576,0.766185,0.887454,0.922202,0.889565,0.35659,0.737437,79,True,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260413_134429\05_components_linear_head\seed_42,2026-04-13 16:39:43,2026-04-13 16:55:01,917.95,
5,05_components_linear_head,component_linear_head,components,Replace the two-layer MLP classification head with a single linear layer.,52,True,layernorm,gelu,linear,True,fixed,False,True,0.5,0.971752,0.803407,0.864562,0.750331,0.894798,0.921255,0.89939,0.337871,0.723869,74,True,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260413_134429\05_components_linear_head\seed_52,2026-04-13 16:55:01,2026-04-13 17:08:59,837.88,
5,05_components_linear_head,component_linear_head,components,Replace the two-layer MLP classification head with a single linear layer.,62,True,layernorm,gelu,linear,True,fixed,False,True,0.5,0.971983,0.810228,0.879328,0.751196,0.888944,0.923339,0.906366,0.337074,0.660553,67,True,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260413_134429\05_components_linear_head\seed_62,2026-04-13 17:08:59,2026-04-13 17:21:36,757.3,
