experimentIndex,experimentName,experimentKey,experimentGroup,description,seed,useResidual,normType,activation,headType,usePosWeight,posWeightStrategy,balancedSampling,autoThreshold,clfThreshold,auc,f1,recall,precision,prAuc,accuracy,balancedAccuracy,loss,finalThreshold,epochsCompleted,stoppedEarly,status,runDir,startedAt,finishedAt,durationSeconds,error
1,01_components_baseline_original,components_baseline_original,components,"Component-ablation baseline: residual MLP with LayerNorm, GELU, MLP head, weighted BCE, and automatic threshold search.",42,True,layernorm,gelu,mlp,True,fixed,False,True,0.5,0.967448,0.792575,0.869654,0.728048,0.882183,0.915285,0.897686,0.362029,0.646985,40,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260414_145609_components_v2\01_components_baseline_original\seed_42,2026-04-14 14:56:09,2026-04-14 15:01:31,322.39,
1,01_components_baseline_original,components_baseline_original,components,"Component-ablation baseline: residual MLP with LayerNorm, GELU, MLP head, weighted BCE, and automatic threshold search.",52,True,layernorm,gelu,mlp,True,fixed,False,True,0.5,0.969229,0.803955,0.848778,0.763628,0.881824,0.92296,0.894351,0.351005,0.732915,40,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260414_145609_components_v2\01_components_baseline_original\seed_52,2026-04-14 15:01:31,2026-04-14 15:06:54,322.59,
1,01_components_baseline_original,components_baseline_original,components,"Component-ablation baseline: residual MLP with LayerNorm, GELU, MLP head, weighted BCE, and automatic threshold search.",62,True,layernorm,gelu,mlp,True,fixed,False,True,0.5,0.971637,0.804561,0.898167,0.728625,0.886585,0.918791,0.910837,0.335519,0.624372,40,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260414_145609_components_v2\01_components_baseline_original\seed_62,2026-04-14 15:06:54,2026-04-14 15:12:19,325.63,
2,02_components_no_residual,component_no_residual,components,Replace residual blocks with plain feed-forward blocks while keeping the same hidden dimensions.,42,False,layernorm,gelu,mlp,True,fixed,False,True,0.5,0.965618,0.78778,0.85998,0.726764,0.87597,0.913769,0.893024,0.378239,0.705779,40,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260414_145609_components_v2\02_components_no_residual\seed_42,2026-04-14 15:12:19,2026-04-14 15:17:19,300.09,
2,02_components_no_residual,component_no_residual,components,Replace residual blocks with plain feed-forward blocks while keeping the same hidden dimensions.,52,False,layernorm,gelu,mlp,True,fixed,False,True,0.5,0.967994,0.799608,0.830957,0.770538,0.880769,0.922486,0.887187,0.365187,0.769095,40,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260414_145609_components_v2\02_components_no_residual\seed_52,2026-04-14 15:17:19,2026-04-14 15:22:19,299.36,
2,02_components_no_residual,component_no_residual,components,Replace residual blocks with plain feed-forward blocks while keeping the same hidden dimensions.,62,False,layernorm,gelu,mlp,True,fixed,False,True,0.5,0.969887,0.794797,0.90224,0.71022,0.877596,0.913295,0.909031,0.348593,0.606281,40,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260414_145609_components_v2\02_components_no_residual\seed_62,2026-04-14 15:22:19,2026-04-14 15:27:12,292.88,
3,03_components_no_norm,component_no_norm,components,"Remove LayerNorm from the input projection, backbone blocks, and classification head.",42,True,none,gelu,mlp,True,fixed,False,True,0.5,0.967873,0.792945,0.83554,0.754483,0.885016,0.918791,0.886684,0.360622,0.660553,40,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260414_145609_components_v2\03_components_no_norm\seed_42,2026-04-14 15:27:12,2026-04-14 15:31:42,270.29,
3,03_components_no_norm,component_no_norm,components,"Remove LayerNorm from the input projection, backbone blocks, and classification head.",52,True,none,gelu,mlp,True,fixed,False,True,0.5,0.969531,0.803865,0.847251,0.764706,0.890486,0.923055,0.89382,0.351695,0.678643,40,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260414_145609_components_v2\03_components_no_norm\seed_52,2026-04-14 15:31:42,2026-04-14 15:36:11,269.58,
3,03_components_no_norm,component_no_norm,components,"Remove LayerNorm from the input projection, backbone blocks, and classification head.",62,True,none,gelu,mlp,True,fixed,False,True,0.5,0.971671,0.804143,0.889511,0.733725,0.891459,0.919359,0.907848,0.339867,0.601759,40,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260414_145609_components_v2\03_components_no_norm\seed_62,2026-04-14 15:36:11,2026-04-14 15:40:43,271.93,
4,04_components_relu_activation,component_relu_activation,components,Keep the architecture unchanged but replace GELU with ReLU.,42,True,layernorm,relu,mlp,True,fixed,False,True,0.5,0.966334,0.788355,0.868635,0.721658,0.877474,0.9132,0.896013,0.367663,0.651508,40,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260414_145609_components_v2\04_components_relu_activation\seed_42,2026-04-14 15:40:43,2026-04-14 15:45:44,300.3,
