experimentIndex,experimentName,experimentKey,experimentGroup,description,seed,useResidual,normType,activation,headType,usePosWeight,posWeightStrategy,balancedSampling,autoThreshold,clfThreshold,auc,f1,recall,precision,prAuc,accuracy,balancedAccuracy,loss,finalThreshold,epochsCompleted,stoppedEarly,status,runDir,startedAt,finishedAt,durationSeconds,error
1,01_imbalance_baseline_original,imbalance_baseline_original,imbalance,"Imbalance-ablation baseline: residual MLP with LayerNorm, GELU, MLP head, weighted BCE, and automatic threshold search.",42,True,layernorm,gelu,mlp,True,fixed,False,True,0.5,0.968257,0.798246,0.834012,0.765421,0.88391,0.921539,0.887783,0.359452,0.723869,50,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260414_191729_imbalance_v1_epoch50\01_imbalance_baseline_original\seed_42,2026-04-14 19:17:29,2026-04-14 19:27:22,592.26,
1,01_imbalance_baseline_original,imbalance_baseline_original,imbalance,"Imbalance-ablation baseline: residual MLP with LayerNorm, GELU, MLP head, weighted BCE, and automatic threshold search.",52,True,layernorm,gelu,mlp,True,fixed,False,True,0.5,0.970289,0.802969,0.85387,0.757795,0.891685,0.922013,0.895732,0.347788,0.701256,50,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260414_191729_imbalance_v1_epoch50\01_imbalance_baseline_original\seed_52,2026-04-14 19:27:22,2026-04-14 19:37:26,604.2,
1,01_imbalance_baseline_original,imbalance_baseline_original,imbalance,"Imbalance-ablation baseline: residual MLP with LayerNorm, GELU, MLP head, weighted BCE, and automatic threshold search.",62,True,layernorm,gelu,mlp,True,fixed,False,True,0.5,0.971381,0.805864,0.867617,0.752318,0.887244,0.922202,0.901151,0.338407,0.705779,50,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260414_191729_imbalance_v1_epoch50\01_imbalance_baseline_original\seed_62,2026-04-14 19:37:26,2026-04-14 19:47:28,602.69,
2,02_imbalance_weighted_fixed_threshold,imbalance_weighted_fixed_threshold,imbalance,Keep weighted BCE but disable automatic threshold search and use a fixed threshold of 0.5.,42,True,layernorm,gelu,mlp,True,fixed,False,False,0.5,0.968257,0.77643,0.912424,0.675716,0.88391,0.902208,0.906148,0.359452,0.5,50,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260414_191729_imbalance_v1_epoch50\02_imbalance_weighted_fixed_threshold\seed_42,2026-04-14 19:47:28,2026-04-14 19:57:11,583.0,
2,02_imbalance_weighted_fixed_threshold,imbalance_weighted_fixed_threshold,imbalance,Keep weighted BCE but disable automatic threshold search and use a fixed threshold of 0.5.,52,True,layernorm,gelu,mlp,True,fixed,False,False,0.5,0.970289,0.777155,0.918024,0.673767,0.891685,0.902018,0.908191,0.347788,0.5,50,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260414_191729_imbalance_v1_epoch50\02_imbalance_weighted_fixed_threshold\seed_52,2026-04-14 19:57:11,2026-04-14 20:06:41,569.07,
2,02_imbalance_weighted_fixed_threshold,imbalance_weighted_fixed_threshold,imbalance,Keep weighted BCE but disable automatic threshold search and use a fixed threshold of 0.5.,62,True,layernorm,gelu,mlp,True,fixed,False,False,0.5,0.971381,0.779221,0.931772,0.669594,0.887244,0.901734,0.913319,0.338407,0.5,50,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260414_191729_imbalance_v1_epoch50\02_imbalance_weighted_fixed_threshold\seed_62,2026-04-14 20:06:41,2026-04-14 20:16:08,567.98,
3,03_imbalance_unweighted_auto_threshold,imbalance_unweighted_auto_threshold,imbalance,Disable positive-class weighting but keep automatic threshold search.,42,True,layernorm,gelu,mlp,False,fixed,False,True,0.5,0.968674,0.79789,0.847251,0.753965,0.887865,0.920118,0.892015,0.172812,0.348492,50,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260414_191729_imbalance_v1_epoch50\03_imbalance_unweighted_auto_threshold\seed_42,2026-04-14 20:16:09,2026-04-14 20:25:25,556.51,
3,03_imbalance_unweighted_auto_threshold,imbalance_unweighted_auto_threshold,imbalance,Disable positive-class weighting but keep automatic threshold search.,52,True,layernorm,gelu,mlp,False,fixed,False,True,0.5,0.970513,0.798958,0.858961,0.746791,0.894869,0.919549,0.896182,0.16888,0.330402,50,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260414_191729_imbalance_v1_epoch50\03_imbalance_unweighted_auto_threshold\seed_52,2026-04-14 20:25:25,2026-04-14 20:35:08,582.98,
3,03_imbalance_unweighted_auto_threshold,imbalance_unweighted_auto_threshold,imbalance,Disable positive-class weighting but keep automatic threshold search.,62,True,layernorm,gelu,mlp,False,fixed,False,True,0.5,0.972086,0.808409,0.861507,0.761476,0.89219,0.924003,0.8999,0.164396,0.366583,50,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260414_191729_imbalance_v1_epoch50\03_imbalance_unweighted_auto_threshold\seed_62,2026-04-14 20:35:08,2026-04-14 20:44:19,550.62,
4,04_imbalance_unweighted_fixed_threshold,imbalance_unweighted_fixed_threshold,imbalance,Disable positive-class weighting and use a fixed threshold of 0.5.,42,True,layernorm,gelu,mlp,False,fixed,False,False,0.5,0.968674,0.800835,0.781059,0.821639,0.887865,0.927698,0.871144,0.172812,0.5,50,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\paper_ablation\paper_ablation_20260414_191729_imbalance_v1_epoch50\04_imbalance_unweighted_fixed_threshold\seed_42,2026-04-14 20:44:19,2026-04-14 20:53:37,558.21,
